order_id,record_time,device_id,resource_id,market_id,quantity,price,flexible,state
dcbda45116484ab49e69aadece5331,2022-09-25 17:01:00 EDT,device:288,Feeder_2_capacity,27735661,-0.00814415,0.0,1,-0.008231649744800089
74e16b739d4420b4ea92332a5558de,2022-09-25 17:01:00 EDT,device:275,Feeder_2_capacity,27735661,0.00733238,53.5446,0,0.007381632210163871
0551799441402db0b83c417c46e2c3,2022-09-25 17:01:00 EDT,device:274,Feeder_2_capacity,27735661,0.00891846,25.592,0,0.008910274184600104
bb5aa6feb547aca6acf79af019004c,2022-09-25 17:01:00 EDT,device:268,Feeder_2_capacity,27735661,0.00858521,73.6816,0,0.008507361035046202
508ea035fe484e9f58ed1730712c1e,2022-09-25 17:01:00 EDT,device:245,Feeder_2_capacity,27735661,0.00622971,69.957,0,0.00629514628837885
cc952f68934d7b938883311427e51a,2022-09-25 17:01:00 EDT,device:234,Feeder_2_capacity,27735661,-0.00649101,0.0,1,-0.006371072279678311
8009d36285489080d17de8378e9a3d,2022-09-25 17:01:00 EDT,device:129,Feeder_1_capacity,27735661,0.00717331,21.8307,3,0.007072188845562224
ac7648460c4bf78c9e2f512f13f394,2022-09-25 17:01:00 EDT,device:78,Feeder_1_capacity,27735661,0.00775406,61.2335,0,0.007958017207758423
e283115a28471b86aad03330747fa5,2022-09-25 17:02:00 EDT,device:616,Feeder_4_storage,5547133,0.0121994,4.89624,1,0.01204928860112433
47d7142bad4fe09ee5e74ab89a666c,2022-09-25 17:02:00 EDT,device:610,Feeder_4_storage,5547133,0.0743393,4.70627,1,0.07574893992633865
5581bf909e4d6c849ee7d037654728,2022-09-25 17:02:00 EDT,device:600,Feeder_4_capacity,27735662,0.00686531,35.8719,0,0.006870440535112408
0a161fed5740ca8ef1d81cd0bda1f3,2022-09-25 17:02:00 EDT,device:590,Feeder_4_capacity,27735662,-0.00599129,0.0,1,-0.005978251097446956
f9c12e39644bb99c81b0bc29c17b9c,2022-09-25 17:02:00 EDT,device:585,Feeder_4_capacity,27735662,0.00618904,33.8272,3,0.006091824141270659
55372b799a40deb2ab8aa56b5e086b,2022-09-25 17:02:00 EDT,device:583,Feeder_4_capacity,27735662,0.00851448,63.8672,0,0.008505209357739676
0712014af14351ad460ebfb3ab885b,2022-09-25 17:02:00 EDT,device:579,Feeder_4_capacity,27735662,0.00650322,17.2775,3,0.00650058526208456
13eb523c4c43e2823de65485791eb4,2022-09-25 17:02:00 EDT,device:549,Feeder_4_capacity,27735662,0.00700653,48.3078,3,0.0069261159394999995
