order_id,record_time,quantity
1,2022-09-25 17:01:00 EDT,0.00689644
5547133,2022-09-25 17:02:00 EDT,0.0692337
27735661,2022-09-25 17:02:00 EDT,0.00625015
27735662,2022-09-25 17:03:00 EDT,0.00686531
27735663,2022-09-25 17:04:00 EDT,0.00818893
27735664,2022-09-25 17:05:00 EDT,0.00732758
27735665,2022-09-25 17:06:00 EDT,-0.00914101
27735666,2022-09-25 17:07:00 EDT,-0.0063076
27735667,2022-09-25 17:08:00 EDT,0.00743332
5547134,2022-09-25 17:08:00 EDT,0.0606644
27735668,2022-09-25 17:09:00 EDT,-0.00647858
27735669,2022-09-25 17:10:00 EDT,0.00867279
27735670,2022-09-25 17:11:00 EDT,0.00837219
27735671,2022-09-25 17:12:00 EDT,0.00701317
5547135,2022-09-25 17:12:00 EDT,0.0828506
27735672,2022-09-25 17:13:00 EDT,-0.00661644
27735673,2022-09-25 17:14:00 EDT,0.00790947
27735674,2022-09-25 17:15:00 EDT,0.00855675
27735675,2022-09-25 17:16:00 EDT,0.00827309
27735676,2022-09-25 17:17:00 EDT,-0.00707214
5547136,2022-09-25 17:17:00 EDT,0.0541138
27735677,2022-09-25 17:18:00 EDT,0.00697678
27735678,2022-09-25 17:19:00 EDT,0.00833954
27735679,2022-09-25 17:20:00 EDT,-0.0074115
27735680,2022-09-25 17:21:00 EDT,-0.0059848
27735681,2022-09-25 17:22:00 EDT,-0.00632034
5547137,2022-09-25 17:22:00 EDT,0.0499435
27735682,2022-09-25 17:23:00 EDT,0.00915344
27735683,2022-09-25 17:24:00 EDT,0.00810638
27735684,2022-09-25 17:25:00 EDT,0.0081311
27735685,2022-09-25 17:26:00 EDT,-0.00909126
5547138,2022-09-25 17:27:00 EDT,0.0253586
27735686,2022-09-25 17:27:00 EDT,-0.00736847
27735687,2022-09-25 17:28:00 EDT,-0.0086956
27735688,2022-09-25 17:29:00 EDT,0.00701828
27735689,2022-09-25 17:30:00 EDT,0.00858284
27735690,2022-09-25 17:31:00 EDT,-0.00768265
27735691,2022-09-25 17:32:00 EDT,0.00756256
27735692,2022-09-25 17:33:00 EDT,0.00728645
5547139,2022-09-25 17:33:00 EDT,0.0415405
27735693,2022-09-25 17:34:00 EDT,0.00768723
27735694,2022-09-25 17:35:00 EDT,0.00790092
27735695,2022-09-25 17:36:00 EDT,-0.00689804
5547140,2022-09-25 17:37:00 EDT,0.0232437
27735697,2022-09-25 17:38:00 EDT,0.00530273
27735698,2022-09-25 17:39:00 EDT,-0.00740082
27735699,2022-09-25 17:40:00 EDT,-0.006866
27735700,2022-09-25 17:41:00 EDT,0.00823257
5547141,2022-09-25 17:42:00 EDT,0.0474548
27735701,2022-09-25 17:42:00 EDT,0.00696259
27735702,2022-09-25 17:43:00 EDT,0.00828461
27735704,2022-09-25 17:45:00 EDT,-0.00839241
27735705,2022-09-25 17:46:00 EDT,-0.00762825
27735706,2022-09-25 17:47:00 EDT,0.00580284
5547142,2022-09-25 17:47:00 EDT,0.0427322
27735707,2022-09-25 17:48:00 EDT,0.00707397
27735708,2022-09-25 17:49:00 EDT,0.00612038
27735709,2022-09-25 17:50:00 EDT,0.0062999
27735710,2022-09-25 17:51:00 EDT,0.00840088
27735711,2022-09-25 17:52:00 EDT,0.00706375
27735712,2022-09-25 17:53:00 EDT,0.00888138
5547143,2022-09-25 17:53:00 EDT,0.068869
27735713,2022-09-25 17:54:00 EDT,0.00886276
27735715,2022-09-25 17:56:00 EDT,0.00708344
27735716,2022-09-25 17:57:00 EDT,0.00750488
5547144,2022-09-25 17:58:00 EDT,0.00872345
27735718,2022-09-25 17:59:00 EDT,0.00851494
27735721,2022-09-25 18:02:00 EDT,0.00833504
27735722,2022-09-25 18:03:00 EDT,0.00663216
27735723,2022-09-25 18:04:00 EDT,0.00650558
27735724,2022-09-25 18:05:00 EDT,0.0066037
27735725,2022-09-25 18:06:00 EDT,0.00725945
27735726,2022-09-25 18:07:00 EDT,0.0077803
27735727,2022-09-25 18:08:00 EDT,0.00522415
27735735,2022-09-25 18:16:00 EDT,0.0097963
27735736,2022-09-25 18:17:00 EDT,0.0077153
27735737,2022-09-25 18:18:00 EDT,0.00602943
27735739,2022-09-25 18:20:00 EDT,0.00757004
27735741,2022-09-25 18:22:00 EDT,0.00800064
27735744,2022-09-25 18:25:00 EDT,0.00603951
27735750,2022-09-25 18:31:00 EDT,0.00900566
5547152,2022-09-25 18:37:00 EDT,0.0114441
27735757,2022-09-25 18:37:36 EDT,0.00768639
27735758,2022-09-25 18:37:42 EDT,0.00623405
